iter	MultiClass
0	3.469748031
1	3.063224156
2	2.822977625
3	2.628408377
4	2.503526482
5	2.381549056
6	2.263920132
7	2.174949834
8	2.091253181
9	2.007088763
10	1.947630405
11	1.872006205
12	1.820531663
13	1.766622388
14	1.724787123
15	1.677341917
16	1.638740612
17	1.609292792
18	1.577828722
19	1.540333905
20	1.505794108
21	1.478729904
22	1.451039678
23	1.431559849
24	1.409291098
25	1.38916538
26	1.371327949
27	1.357452616
28	1.339320909
29	1.31805942
30	1.3042933
31	1.291134298
32	1.278469093
33	1.267212682
34	1.260538816
35	1.254988722
36	1.242367957
37	1.232772456
38	1.224162167
39	1.205664361
40	1.200512187
41	1.197520599
42	1.194190239
43	1.189011543
44	1.183655851
45	1.175009146
46	1.171783322
47	1.169410505
48	1.161474943
49	1.159821873
50	1.152716509
51	1.148736883
52	1.145782269
53	1.144457038
54	1.141541117
55	1.138753613
56	1.134463344
57	1.132345508
58	1.129443107
59	1.127150024
60	1.119182722
61	1.116706985
62	1.113893105
63	1.107750344
64	1.103021807
65	1.099535525
66	1.096498159
67	1.094537273
68	1.090319645
69	1.08885104
70	1.086983316
71	1.083883757
72	1.082463373
73	1.079739283
74	1.077822926
75	1.075795026
76	1.070808476
77	1.068498416
78	1.067750073
79	1.066271514
80	1.063899738
81	1.057230678
82	1.053294046
83	1.052991911
84	1.052727084
85	1.051203615
86	1.051008335
87	1.049883919
88	1.048902844
89	1.047069871
90	1.037391896
91	1.032294854
92	1.023474038
93	1.022150315
94	1.011160665
95	1.009940225
96	1.009806866
97	1.007869795
98	0.9994039711
99	0.9993028379
100	0.9983121164
101	0.9904742007
102	0.9825165629
103	0.9808572284
104	0.9764811523
105	0.9696417695
106	0.9601606752
107	0.9531924102
108	0.9493397642
109	0.9444401533
110	0.9410924494
111	0.9404419874
112	0.9326147504
113	0.9296131313
114	0.9268300063
115	0.9243502675
116	0.9213471494
117	0.9133737783
118	0.9056040995
119	0.9048690884
120	0.8964762871
121	0.8936336295
122	0.8852135859
123	0.8806243085
124	0.8739082785
125	0.8714161546
126	0.8690958571
127	0.8637373976
128	0.8561705349
129	0.8497036561
130	0.8463207582
131	0.842228347
132	0.8358436203
133	0.8304701497
134	0.8275089779
135	0.8241289873
136	0.8214518166
137	0.819220133
138	0.817252404
139	0.8121877023
140	0.8110959844
141	0.8066270772
142	0.8035625642
143	0.7992243825
144	0.7964745794
145	0.7960609348
146	0.7905888511
147	0.7876480416
148	0.7867325239
149	0.7833994303
150	0.7799291889
151	0.7777259168
152	0.776545273
153	0.7756162243
154	0.774281723
155	0.7712013319
156	0.7678346142
157	0.7668203066
158	0.7644301173
159	0.7620191474
160	0.7614621897
161	0.7609502051
162	0.7575374922
163	0.7544095125
164	0.7516730299
165	0.7503538828
166	0.7469648995
167	0.7444707704
168	0.7435922784
169	0.7418352151
170	0.7379481181
171	0.7372280593
172	0.734015111
173	0.7334024151
174	0.7309291699
175	0.7268799321
176	0.7258475628
177	0.7246645088
178	0.722954023
179	0.7207635532
180	0.7192158088
181	0.7163669988
182	0.7132140229
183	0.7114208853
184	0.7092973342
185	0.7069259569
186	0.7066381726
187	0.7056130926
188	0.7044509666
189	0.7034731499
190	0.7017897511
191	0.6989611099
192	0.6969574614
193	0.6943285588
194	0.6931755962
195	0.6911045288
196	0.6889737528
197	0.6870927802
198	0.685738545
199	0.6837971008
200	0.681835903
201	0.6794859086
202	0.678321016
203	0.6765705133
204	0.6753984922
205	0.6744400679
206	0.672299116
207	0.6688136635
208	0.6676069251
209	0.665770694
210	0.6628795493
211	0.6614188362
212	0.6596085194
213	0.6573062415
214	0.6554206431
215	0.6532382004
216	0.6512518386
217	0.649402399
218	0.6476354461
219	0.645817887
220	0.6440595429
221	0.6417874115
222	0.6405550612
223	0.6400983722
224	0.6385718072
225	0.6377426678
226	0.6366072335
227	0.6351380946
228	0.6337649473
229	0.6325385691
230	0.6308822142
231	0.6296485563
232	0.6279036634
233	0.6261667767
234	0.6251234155
235	0.6235553531
236	0.6219029346
237	0.6199289747
238	0.6192598192
239	0.6175119985
240	0.6149946779
241	0.613972343
242	0.6126803503
243	0.6106310463
244	0.6094685298
245	0.6081639406
246	0.6069760223
247	0.6056855076
248	0.6036414706
249	0.6018597968
250	0.6013390942
251	0.6004781983
252	0.599920516
253	0.5990278359
254	0.5989279242
255	0.5978967596
256	0.5969747498
257	0.5959997356
258	0.594601766
259	0.5930705428
260	0.5914987133
261	0.5902767053
262	0.5888374603
263	0.5875527679
264	0.5852578409
265	0.5843155416
266	0.583943558
267	0.5832321392
268	0.5823351281
269	0.5807029816
270	0.5782098533
271	0.5767758098
272	0.5756068246
273	0.5737354345
274	0.5730207932
275	0.5718191766
276	0.571004439
277	0.569995047
278	0.5687916227
279	0.5680251052
280	0.5671541786
281	0.5655915402
282	0.5646510836
283	0.5637119486
284	0.5619755534
285	0.5611089931
286	0.5593657155
287	0.5586418878
288	0.5574603463
289	0.5556745844
290	0.5531569309
291	0.55191773
292	0.5507353026
293	0.5498673866
294	0.5488689412
295	0.5468347062
296	0.5449823279
297	0.5443999234
298	0.5439230747
299	0.5431741921
300	0.5423739846
301	0.5420193092
302	0.5409656652
303	0.5402967737
304	0.5389616136
305	0.5381727096
306	0.5368262025
307	0.5354838409
308	0.5346635177
309	0.5334549069
310	0.532508062
311	0.5317573796
312	0.5310817577
313	0.5296597589
314	0.5290720487
315	0.5283957056
316	0.5270681371
317	0.5257426412
318	0.5246890653
319	0.5237033864
320	0.5233697921
321	0.5228735691
322	0.521468531
323	0.5202960971
324	0.5196701563
325	0.5184149653
326	0.516895561
327	0.5160184071
328	0.5153859718
329	0.5152108071
330	0.5149135224
331	0.5131967686
332	0.5124518032
333	0.5118791873
334	0.5112229866
335	0.509884798
336	0.5091026707
337	0.50827077
338	0.5073422408
339	0.5064390937
340	0.5054853731
341	0.5036758995
342	0.5026986527
343	0.5020049225
344	0.5011174717
345	0.5002311161
346	0.499070095
347	0.4985706514
348	0.4972187518
349	0.4958971563
350	0.4947587933
351	0.4941311766
352	0.4926131929
353	0.4919914014
354	0.4905768764
355	0.4893593795
356	0.4882188955
357	0.4872162268
358	0.4864413912
359	0.4850099144
360	0.4843305544
361	0.4834309972
362	0.4824057249
363	0.4820543596
364	0.4811883199
365	0.48055596
366	0.479429934
367	0.4786173893
368	0.4778818218
369	0.4768910156
370	0.475657425
371	0.4750452584
372	0.4744852228
373	0.4732963028
374	0.4723851409
375	0.4714860358
376	0.4707625124
377	0.4700023632
378	0.4696548725
379	0.4685353802
380	0.4675109516
381	0.4666573919
382	0.4646828306
383	0.4633827532
384	0.4630433873
385	0.4623114369
386	0.4613764989
387	0.4609617547
388	0.4602111646
389	0.4594996499
390	0.45863125
391	0.4580178274
392	0.4569251816
393	0.4562460476
394	0.4554722839
395	0.4543828815
396	0.4538558803
397	0.4529429505
398	0.4518565131
399	0.4506521638
400	0.4501793903
401	0.44965392
402	0.4484809049
403	0.4476533117
404	0.4470005373
405	0.4464478777
406	0.4453702213
407	0.4449763745
408	0.4445302416
409	0.4437238694
410	0.4431967399
411	0.4423054874
412	0.4416818113
413	0.4406687377
414	0.4400754546
415	0.4389537532
416	0.4384583021
417	0.4375006247
418	0.4364554357
419	0.4360087795
420	0.4354416843
421	0.4347928218
422	0.4333774842
423	0.4324390967
424	0.4317885546
425	0.4312974106
426	0.4310070637
427	0.4304847123
428	0.4299058855
429	0.4291996864
430	0.42884699
431	0.428345773
432	0.4277503173
433	0.4269390306
434	0.4258588741
435	0.4251709683
436	0.4238315717
437	0.4230068438
438	0.4220930481
439	0.4214882623
440	0.4211811534
441	0.4206217558
442	0.4201044189
443	0.4197699068
444	0.4190641239
445	0.417946735
446	0.4175242847
447	0.4170846056
448	0.4165150138
449	0.4157762131
450	0.4150405448
451	0.4143685627
452	0.4132839696
453	0.4120651927
454	0.4114046817
455	0.4103219776
456	0.4095421875
457	0.4088134229
458	0.4082316198
459	0.4073899915
460	0.4065520873
461	0.4061049152
462	0.4051007407
463	0.4045933784
464	0.4038999092
465	0.4034002382
466	0.4023052441
467	0.4017777068
468	0.4012139876
469	0.4008364938
470	0.4001147017
471	0.3991396993
472	0.3983161115
473	0.3975375967
474	0.3966159575
475	0.3957999747
476	0.3955472846
477	0.3948421928
478	0.3942362724
479	0.3933086946
480	0.3926162703
481	0.3919205407
482	0.3908168805
483	0.3904641295
484	0.3900375953
485	0.3894484323
486	0.3887319058
487	0.3883896166
488	0.3880320938
489	0.3872414311
490	0.3864485808
491	0.3855007279
492	0.3848566118
493	0.3845224275
494	0.3834421704
495	0.3826889484
496	0.3819443358
497	0.3812413725
498	0.3808449226
499	0.3801531048
500	0.379277068
501	0.3786751599
502	0.3780093863
503	0.3771268673
504	0.3761039079
505	0.3755458884
506	0.3747131764
507	0.3744986731
508	0.3737524559
509	0.3729457975
510	0.3723067062
511	0.3716404299
512	0.3711043253
513	0.3704682348
514	0.3696754429
515	0.3683370111
516	0.3680028976
517	0.3671213206
518	0.3668861599
519	0.3661683086
520	0.3656662004
521	0.365047377
522	0.3645101152
523	0.3635091142
524	0.3632400126
525	0.3616812149
526	0.3610296647
527	0.3603933174
528	0.3592925603
529	0.3579742995
530	0.357609972
531	0.3573380207
532	0.3571381713
533	0.3566768938
534	0.3556259853
535	0.3550690562
536	0.3547634887
537	0.3543461872
538	0.354026029
539	0.3533136869
540	0.3525892152
541	0.3522440006
542	0.3517799973
543	0.3511987466
544	0.3505375627
545	0.3500127915
546	0.3493944069
547	0.3489350753
548	0.3480542271
549	0.3471481284
550	0.3466101586
551	0.3456239748
552	0.3453010663
553	0.3446719676
554	0.3443882348
555	0.3437388921
556	0.3433556821
557	0.3428900329
558	0.3423766082
559	0.3420060142
560	0.3416261565
561	0.3405979796
562	0.3401014946
563	0.3388168062
564	0.3382707998
565	0.3378314751
566	0.3374443763
567	0.3366652013
568	0.3363644655
569	0.3355527756
570	0.3345673271
571	0.3340087727
572	0.3332669143
573	0.3330341147
574	0.3323740077
575	0.3320840621
576	0.3314169574
577	0.3310243088
578	0.330596444
579	0.3300566055
580	0.3297842058
581	0.3291497564
582	0.3284723804
583	0.328261423
584	0.3276108885
585	0.327101788
586	0.3266377455
587	0.326248813
588	0.3257513867
589	0.3249530566
590	0.3243025698
591	0.3239567009
592	0.3235185607
593	0.3230979213
594	0.3220812291
595	0.3211878771
596	0.3206441132
597	0.3203701257
598	0.3195936926
599	0.319040316
600	0.3183536743
601	0.3179638347
602	0.3173389563
603	0.3169795755
604	0.3162809592
605	0.3157008437
606	0.3148239756
607	0.3142213858
608	0.313810686
609	0.3130436944
610	0.3126789707
611	0.3123022633
612	0.3119330131
613	0.311513846
614	0.3112600888
615	0.3108825555
616	0.3107179096
617	0.3100159043
618	0.3093156547
619	0.3084110511
620	0.3079859074
621	0.3076277312
622	0.3070982713
623	0.3065670535
624	0.3058240653
625	0.3052389677
626	0.3045589504
627	0.3043290775
628	0.3037972183
629	0.3027151616
630	0.3022725407
631	0.3017549662
632	0.301236566
633	0.3007600175
634	0.3003640201
635	0.30005406
636	0.2994321036
637	0.2989743934
638	0.2981000977
639	0.297654963
640	0.2972098873
641	0.2967135346
642	0.2963195371
643	0.2957851749
644	0.2953316495
645	0.2949824886
646	0.2947051071
647	0.2941107854
648	0.293681747
649	0.2933976543
650	0.2925944598
651	0.2924062445
652	0.2917889324
653	0.2911649789
654	0.290704779
655	0.2899131509
656	0.289631143
657	0.289569515
658	0.2889846667
659	0.2885346748
660	0.2881232759
661	0.2877214979
662	0.2874640296
663	0.2870015999
664	0.286582881
665	0.2862568832
666	0.2860670199
667	0.285702211
668	0.2854094173
669	0.2852424172
670	0.2846700899
671	0.2840566554
672	0.2837620628
673	0.2835610475
674	0.283104373
675	0.2828871166
676	0.2826568037
677	0.2824464756
678	0.2820940561
679	0.2817603594
680	0.2811597182
681	0.2805983731
682	0.2802620552
683	0.2799907924
684	0.2795468467
685	0.2790041338
686	0.2784725644
687	0.277918072
688	0.2773661145
689	0.2771523977
690	0.2766478067
691	0.2761362851
692	0.2759036815
693	0.2752680886
694	0.2749001011
695	0.2746516512
696	0.2739046475
697	0.2737258581
698	0.2732737255
699	0.2729131425
700	0.2725841888
701	0.2721640811
702	0.2719290131
703	0.2715709338
704	0.2710981746
705	0.2705791525
706	0.2699692369
707	0.2694780467
708	0.268678953
709	0.2684985387
710	0.2680266357
711	0.267430523
712	0.2670251461
713	0.2668835429
714	0.2664888154
715	0.2662594595
716	0.2658012869
717	0.2656484875
718	0.2653301503
719	0.2651128387
720	0.2647340216
721	0.2643078184
722	0.2638861374
723	0.2630163895
724	0.2626711284
725	0.2622127001
726	0.2615418409
727	0.2611654669
728	0.260549965
729	0.2602572162
730	0.2598255046
731	0.25948215
732	0.2590166514
733	0.2587281025
734	0.2585108545
735	0.2580467609
736	0.2576346358
737	0.2572752817
738	0.2568675417
739	0.2564735692
740	0.2562354134
741	0.2560488201
742	0.2557881429
743	0.2552498
744	0.2549502869
745	0.2548318892
746	0.25431391
747	0.2539659501
748	0.2535155211
749	0.2531404664
750	0.2527871745
751	0.252278703
752	0.2519998008
753	0.2513450095
754	0.2511579094
755	0.2507587604
756	0.2501921322
757	0.2499046223
758	0.2493691106
759	0.2490831953
760	0.2487456364
761	0.2485099977
762	0.2482007409
763	0.2479595566
764	0.2477245975
765	0.2472823819
766	0.2466871289
767	0.2460698547
768	0.2454761061
769	0.2450674768
770	0.2448541189
771	0.2445819747
772	0.2443174552
773	0.2440592057
774	0.2438607242
775	0.2436708453
776	0.2433759836
777	0.2429224362
778	0.2427022646
779	0.242251476
780	0.2417521171
781	0.2413669767
782	0.2408731971
783	0.2406988899
784	0.2404240058
785	0.2400615249
786	0.2397387955
787	0.2392610483
788	0.238913882
789	0.2387164851
790	0.2383487601
791	0.2377304639
792	0.2373806078
793	0.2371851821
794	0.2369522142
795	0.2366971179
796	0.2364489408
797	0.2363397157
798	0.2359794427
799	0.2356146544
800	0.2353274573
801	0.2349066145
802	0.2346931206
803	0.2344646334
804	0.233884797
805	0.2335857409
806	0.2333070417
807	0.2329912319
808	0.2327023098
809	0.2323709703
810	0.2322144328
811	0.2318967664
812	0.2317593915
813	0.2313387969
814	0.231106055
815	0.2309181865
816	0.2303375894
817	0.2300342393
818	0.2297720058
819	0.2294802583
820	0.229066461
821	0.2286863981
822	0.2283598223
823	0.2281232862
824	0.2275833972
825	0.2274371083
826	0.2271168188
827	0.2268401597
828	0.2265519944
829	0.2263657908
830	0.2259653235
831	0.2258232983
832	0.225164917
833	0.2248874858
834	0.2245997825
835	0.2244614797
836	0.2242496983
837	0.2237803499
838	0.2233429107
839	0.2229667599
840	0.2228224815
841	0.2227079104
842	0.2224338684
843	0.2222968655
844	0.2222489417
845	0.2218757895
846	0.2215790821
847	0.2213877704
848	0.2210292898
849	0.2205586782
850	0.2199530714
851	0.2197112527
852	0.2193711325
853	0.2191450149
854	0.2189232432
855	0.2188931999
856	0.2185223194
857	0.2181689475
858	0.2177920838
859	0.2175041316
860	0.2173831428
861	0.2172538079
862	0.2170124457
863	0.2167841267
864	0.2164415161
865	0.2162142882
866	0.2158485755
867	0.2154988808
868	0.2152384972
869	0.2150477154
870	0.2148842112
871	0.2144745287
872	0.2142547151
873	0.2141698401
874	0.214060781
875	0.2138631741
876	0.213789198
877	0.2133920226
878	0.2132501633
879	0.2129142181
880	0.2126539531
881	0.2124584201
882	0.2120185764
883	0.2118243401
884	0.2114898238
885	0.2113156493
886	0.2109799028
887	0.2108715778
888	0.2103529931
889	0.2101348973
890	0.2099789926
891	0.2098463386
892	0.2096299236
893	0.2093689205
894	0.2089946129
895	0.2087782428
896	0.2084053249
897	0.2082877976
898	0.2078173257
899	0.2076373977
900	0.2072443459
901	0.2071665041
