iter	Passed	Remaining
0	4011	4007016
1	7380	3683058
2	10540	3503114
3	13806	3437933
4	16641	3311607
5	19748	3271696
6	23179	3288239
7	26379	3271030
8	29714	3271931
9	33073	3274288
10	36094	3245186
11	39248	3231424
12	42573	3232291
13	47064	3314656
14	50490	3315545
15	53702	3302683
16	56956	3293416
17	59519	3247097
18	62581	3231200
19	66164	3242071
20	69281	3229854
21	72301	3214117
22	76324	3242115
23	79377	3228033
24	82457	3215835
25	85622	3207538
26	88777	3199278
27	91692	3183032
28	94812	3174585
29	98018	3169264
30	101049	3158607
31	104040	3147217
32	107168	3140368
33	109917	3122957
34	112487	3101453
35	115231	3085644
36	118351	3080327
37	121483	3075446
38	124241	3061428
39	127121	3050925
40	129924	3038973
41	130604	2979029
42	133232	2965191
43	135818	2950974
44	138434	2937881
45	141111	2926522
46	143703	2913809
47	146384	2903296
48	149752	2906429
49	150901	2867119
50	154336	2871873
51	157068	2863475
52	159818	2855618
53	161371	2826983
54	163936	2816723
55	166900	2813462
56	169839	2809806
57	173235	2813586
58	176519	2815336
59	179369	2810123
60	183178	2819749
61	186114	2815737
62	189162	2813420
63	192890	2821030
64	195620	2813921
65	198316	2806479
66	201284	2802959
67	204768	2806533
68	207882	2804909
69	211019	2803545
70	213962	2799597
71	216928	2795968
72	219083	2782066
73	222085	2779069
74	224808	2772637
75	227675	2768049
76	231130	2770566
77	233848	2764208
78	236647	2758887
79	239494	2754191
80	242255	2748551
81	245906	2752957
82	250560	2768239
83	252590	2754436
84	254193	2736317
85	257577	2737514
86	258395	2711672
87	261763	2712825
88	265047	2713015
89	268463	2714463
90	272360	2720608
91	275868	2722699
92	279783	2728644
93	282939	2727055
94	286763	2731802
95	290226	2732961
96	292558	2723504
97	295850	2723035
98	300140	2731579
99	301204	2710838
100	304770	2712755
101	308319	2714421
102	312013	2717244
103	315531	2718429
104	318563	2715373
105	322884	2723196
106	326348	2723638
107	329757	2723550
108	333665	2727482
109	337747	2732681
110	341109	2731948
111	344327	2730022
112	347950	2731254
113	351220	2729659
114	354593	2728826
115	357859	2727134
116	361144	2725561
117	364669	2725746
118	368248	2726277
119	371634	2725317
120	375443	2727398
121	379204	2729029
122	382980	2730685
123	386863	2733000
124	391424	2739970
125	394860	2738955
126	398475	2739129
127	402579	2742569
128	407211	2749467
129	411311	2752625
130	414812	2751696
131	418857	2754305
132	423286	2759321
133	427242	2761131
134	431301	2763527
135	435146	2764462
136	438967	2765175
137	442327	2762942
138	445938	2762250
139	450037	2764517
140	453618	2763532
141	457631	2765123
142	461539	2766009
143	465784	2768828
144	469768	2770014
145	472729	2765142
146	476008	2762142
147	479324	2759352
148	482780	2757357
149	486503	2756855
150	490291	2756670
151	494225	2757256
152	498232	2758188
153	501608	2755589
154	505455	2755549
155	509138	2754568
156	513089	2754995
157	516348	2751677
158	521081	2756162
159	524899	2755722
160	528816	2755760
161	532137	2752659
162	536510	2754963
163	540858	2757058
164	545017	2758121
165	548409	2755263
166	552493	2755850
167	555712	2752097
168	558681	2747126
169	562177	2744748
170	566118	2744515
171	569401	2741072
172	573920	2743538
173	577472	2741334
174	581558	2741634
175	586131	2744159
176	589979	2743236
177	593242	2739579
178	597297	2739561
179	601294	2739229
180	604906	2737117
181	609706	2740328
182	613723	2739955
183	618737	2743965
184	624087	2749359
185	630598	2759715
186	634782	2759774
187	638343	2757099
188	642948	2758895
189	647346	2759740
190	651345	2758840
